Derivatives of exp(x) at 10.000000 using forward difference method

 i  h              derivative      e               epsilon 
 1  5.000000e-001  2.857808e+004
 2  2.500000e-001  2.502430e+004  -3.553773e+003  -1.243531e-001
 3  1.250000e-001  2.346233e+004  -1.561977e+003  -6.241838e-002
 4  6.250000e-002  2.272938e+004  -7.329531e+002  -3.123957e-002
 5  3.125000e-002  2.237425e+004  -3.551250e+002  -1.562405e-002
 6  1.562500e-002  2.219950e+004  -1.747500e+002  -7.810317e-003
 7  7.812500e-003  2.211275e+004  -8.675000e+001  -3.907746e-003
 8  3.906250e-003  2.207000e+004  -4.275000e+001  -1.933274e-003
 9  1.953125e-003  2.204800e+004  -2.200000e+001  -9.968283e-004
10  9.765625e-004  2.203800e+004  -1.000000e+001  -4.535559e-004
11  4.882813e-004  2.203200e+004  -6.000000e+000  -2.722570e-004
12  2.441406e-004  2.203200e+004  0.000000e+000  0.000000e+000
13  1.220703e-004  2.203200e+004  0.000000e+000  0.000000e+000
14  6.103516e-005  2.204800e+004  1.600000e+001  7.262164e-004
15  3.051758e-005  2.208000e+004  3.200000e+001  1.451379e-003
16  1.525879e-005  2.214400e+004  6.400000e+001  2.898551e-003
17  7.629395e-006  2.227200e+004  1.280000e+002  5.780347e-003
18  3.814697e-006  2.252800e+004  2.560000e+002  1.149425e-002
19  1.907349e-006  2.252800e+004  0.000000e+000  0.000000e+000
20  9.536743e-007  2.252800e+004  0.000000e+000  0.000000e+000
