Derivatives of cos(x) at 10.000000 using forward difference method

 i  h              derivative      e               epsilon 
 1  5.000000e-001  7.270691e-001
 2  2.500000e-001  6.427107e-001  -8.435845e-002  -1.160254e-001
 3  1.250000e-001  5.949793e-001  -4.773140e-002  -7.426576e-002
 4  6.250000e-002  5.698795e-001  -2.509975e-002  -4.218593e-002
 5  3.125000e-002  5.570412e-001  -1.283836e-002  -2.252821e-002
 6  1.562500e-002  5.505524e-001  -6.488800e-003  -1.164869e-002
 7  7.812500e-003  5.472946e-001  -3.257751e-003  -5.917242e-003
 8  3.906250e-003  5.456543e-001  -1.640320e-003  -2.997142e-003
 9  1.953125e-003  5.448303e-001  -8.239746e-004  -1.510067e-003
10  9.765625e-004  5.444336e-001  -3.967285e-004  -7.281689e-004
11  4.882813e-004  5.441895e-001  -2.441406e-004  -4.484305e-004
12  2.441406e-004  5.439453e-001  -2.441406e-004  -4.486317e-004
13  1.220703e-004  5.439453e-001  0.000000e+000  0.000000e+000
14  6.103516e-005  5.439453e-001  0.000000e+000  0.000000e+000
15  3.051758e-005  5.429688e-001  -9.765625e-004  -1.795332e-003
16  1.525879e-005  5.429688e-001  0.000000e+000  0.000000e+000
17  7.629395e-006  5.390625e-001  -3.906250e-003  -7.194245e-003
18  3.814697e-006  5.468750e-001  7.812500e-003  1.449275e-002
19  1.907349e-006  5.312500e-001  -1.562500e-002  -2.857143e-002
20  9.536743e-007  5.000000e-001  -3.125000e-002  -5.882353e-002
